hole_number,from,to,base_lithology,litho_detailed,lith_general,lith_grain_size,lith_texture1,lith_texture2,lith_texture3,lith_description,alt_from_m,alt_to_m,dominant_alteration,intensity,dominant_alt_mins,min_from_m,min_to_m,py_pct_nv,ccp_pct_nv,bn_pct_nv,interval_type
AXE-23-005,26.28,30.1,AND,AND,VCB,FMG,,,,"GREENISH GREY, FAULTED, FINE GRAINED, VOLCANICLASTIC/BRECCIA ANDESITE. PHENOS UNIDENTIFIABLE DUE TO FAULTING AND ALTERATION. GENERALLY PROP ALT, WHT CAL VEINLETS NOTED. EPIDOTE OVERPRINT OBSERVED. 0.15M OF GREENISH, MEDIUM GRAINED, PROP ALTERED POSSIBLY DIORITE INTRUSION NOTED FROM ~27.44M. PHENOS COMPOSED OF ~1MM DARK AND WHITE MINERALS. WHITE MIN POSSIBLY PLAG ALTERED SOME TO CLAY, WHILE DARK MIN NOTED TP BE ALTERED TO CHLORITE AND MAGNETITE. CORE LOSS WITHIN THIS INTERVAL AS WELL WITH 1.45M RECOVERY. CASINGF AT 30M.",,,,,,,,,,,Lithology
AXE-23-006,0.0,3.0,CL,CL,,,,,,HIT BEDROCK AT 3M.,,,,,,,,,,,Lithology
AXE-23-006,3.0,7.0,CL,CL,,,,,,NO RECOVERY. CORE LOSS. CASING AT 6M,,,,,,,,,,,Lithology
AXE-23-006,90.0,97.35,AND,AND,VCB,,,,,"GREEN TO GREY, FG VOLCANICLASTIC ANDESITE? PROP ALT (CHL>CAL+-EPI) FAULTED ON SOME PARTS, WITH WEAKLY ARGILLIC ALT ON FAULTED/SHEARED ZONE DRILLERS HAD A HARD TIME DRILLING AND GETTING LOW TO NO CORE RECOVERY. PULLED OUT AND ENDED THE HOLE. EOH",,,,,,,,,,,Lithology
AXE-23-007,0.0,118.25,CL,CL,,,,,,"TRI-CONED UNTIL 118.25M. CASING AT 120M. LOST AXE-23-005 AT 87M, CORE RECOVERED OBSERVED GRAY, GOUGY ""SANDY"" GROUND UP RK. POSSIBLY STRONGLY FAULTED, OR BRECCIATED, SEE PHOTO FOR REFERENCE (AXE23-007 0-118.25M)",,,,,,,,,,,Lithology
AXE-23-007,302.59,304.68,VCL,VCL,FLT,CG,,,,"GREEN TO GREY, MOD PROP (CHL>EPI>CARB) WITH WEAK PHYLLIC (SER>PY>SIL) ALT, VOLCANICLASTIC. SUBHEDRAL TO EUHEDRAL CLASTS OBSERVED WITHIN THE INTERVAL. FAULTED",,,,,,,,,,,Lithology
AXE-23-007,304.68,311.19,VCL,VCL,SVI,MCG,XEN,,,"GREEN TO GREY, MOD PROP (CHL>EPI>CARB) WITH WEAK SIL VOLCANICLATSIC CROWDED, 1MM TO 1CM CLAST SIZES, SUBHEDRAL. DARK MIN ALTERED TO CHL, WEAKLY MAG ON SOME PARTS, PHENO SELECTIVE KSPARS - NOT DETERMINED WHETHER AN ALTERATION OR CLASTS.",,,,,,,,,,,Lithology
AXE-23-008,0.0,19.0,OVB,OVB,NC,,,,,"NO CORE RECOVERED, HIT BEDROCK",,,,,,,,,,,Lithology
AXE-23-008,19.0,21.0,CL,CL,NC,,,,,BEDROCK. CASING TO 21M. NO CORE RECOVERED,,,,,,,,,,,Lithology
AXE-23-008,282.9,294.0,VCL,VCL,VCB,MCG,,,,"GREEN TO PALE GREEN, WK PROP TO MOD PHYLLIC ALT VLCL (MAGMATIC BRECCIA?) POLYMICTIC, POOR TO MOD SORTED, SUBROUNDED TO ROUNDED CLASTS, CLAST SUPPORTED. CLASTS COMPOSED OF MAGNETITE-CHL-EPI ALTERED CLASTS. SOME CLASTS ARE MINERALIZED WITH FG PY+-CCP. ALT ASSEMBLAGE CHL>EPI>SER>SIL>PY SERECITE MORE PROMINENT AS FRACTURE FILLS, WHILE EPIDOTE AND CHL ARE ON CLASTS. ~10% FG PY AS DISS/STRINGERS AND BLEBS.",,,,,,,,,,,Lithology
