,Lithology,,,,,,,,,,Alteration,,,,,Mineralization,,,,
"Hole 
Number","From 
(m)","To 
(m)","Base 
Lithology","Litho 
Detailed","Lith 
General","Lith
Grain Size","Lith
Texture1","Lith 
Texture2","Lith
Texture3",Lith Description,"Alt 
From (m)","Alt
To (m)","Dominant 
Alteration",Intensity,Dominant Alt Mins,"Min 
From (m)","Min
To (m)","Py pct
NV*","Ccp pct
NV*","Bn pct
AXE-23-004,23,25.5,AND,AND,VCB,FG,XEN,,,"med-light grey-green-red volcanoclastic Andesite . Some sub-rounded clasts. Groundmass is mostly fine-med grained. In the interval, the main alteration observed is moderate propylitic alteration with pervasive distribution of chlorite and epidote. The presence of hematite in the form of patches is also observed in some clasts, and the alteration of magnetite ranges from weak to moderate, distributed pervasively. The predominant veins in the interval are calcite veins.The interval presents blebs chalcopyrite (Ccp).",23,29,PRO,4,"act, chl,ep, hem, mag",,,,,
,,,,,,,,,,,29,44.5,PRO,4,"chl, ep, cal, mag",,,,,
AXE-23-004,25.5,26.6,DIO,DIO,VCB,FMG,POR,,,"Gray micro-diorite with green patches, fine to medium grain size, showing pervasive propylitic alteration where both chlorite and epidote can be identified. Some spots that look like diorite and others that look like andesite.The predominant veins in the interval are calcite veins.  Pyrite is observed in disseminated form.  This unit once again is similar to the volcanoclastic andesite, the main difference is the avereage grainsize is slightly larger and looking like micro-diorite. Clasts can still be seen but are not as frequent as above. KF 30 May 2023",,,,,,,,,,
AXE-23-004,26.6,38.65,AND,AND,VCB,FMG,XEN,,,"Grey to greenish, volcaniclastic andesite, generally prop altered with fg to mg texture as seen on some clasts.  Sub angular clasts ranges from 0.5cm to 1cm in size. The interval is mostly fractured with 2 minor faulting: ~30cm fault gouge observed from 29m and another ~40cm fault zone observed from 38.3m. Wkly magnetic on some parts. Minor py+-ccp observed from 27m and 30.4m.  ~10cm qtz+cal+py vein from 38.12m and Calcite vl and as fracture fills throughout the interval.",,,,,,29,37.6,0.1,0.05,0
,,,,,,,,,,,,,,,,37.6,38.65,0.2,0,0
AXE-23-004,38.65,44.25,MZN,MZN,INT,FMG,EQUI,,,"light-med green/grey, monzonite. Generally prop altered, with patches of k feldspar (on the matrix?). Fg to mg texture. The interval is mod to highly fractured, possibly faulted due to gougy material as observed from 40.4m. Low recovery from 44m to 59m, only a minor amount recovered and the rest was lost when drillers tri-coned and re-cased. Minor py+ccp observed from 40.9m.",,,,,,38.65,44.5,0.2,0.1,0
AXE-23-004,44.25,54,CL,CL,NC,,,,,"no core recovered, drillers tri-coned and advanced casing to 54m",,,,,,,,,,
AXE-23-004,54,56.2,MZN,MZN,INT,FMG,,,,looks similar to the other monzonite above core loss.,54,59,PRO,4,"chl, ep, py",,,,,
AXE-23-004,56.2,72,CL,CL,NC,,,,,"no core recovered, drillers tri-coned to 72m and advanced casing",,,,,,56.2,59,0.01,0,0
AXE-23-004,72,77.8,AND,AND,VCB,FG,XEN,,,"grey to dark grey with patches of green  volcaniclastic andesite. Mod prop alteration. Moderately magnetic on dark clasts, possibly secondary magnetite. Cal vlt as fracture fills also observed. ~15cm Qtz+cal+py+ccp vn observed from 74m.",72,77.8,PRO,5,"chl, ep, mag, py, cal",72,77.8,5,0.1,0
AXE-23-004,77.8,85.95,MZN,MZN,SVI,FMG,XEN,,,"light green to green/grey monzonite intercalated with greenish grey volcaniclastic/brecciated andesite. Monzonite is generally prop altered, with hematite (?) observed as overprint. Fine to medium grained in texture. At ~79.6-80.25m there is Greenish grey volcaniclastic andesite, prop altered, seems to cut through monzonite, could be brecciating monzonite or volcanoclastic in origin. Can be seen in between monzonite throughout the interval with fg py diss. The interval is generally broken. Wht cal vlt more prominent on volcaniclastic andesite. ~10cm of py+ccp with dark fg sulfides observed from 80.1m.",77.8,85,PRO,4,"chl, ep, cal, mag",77.8,84.8,2,0.1,0
,,,,,,,,,,,85,85.95,SCC,4,"chl, ser, cal",84.8,86,15,0,0
AXE-23-004,85.95,92.1,AND,AND,VCB,FG,XEN,,,"green to grey, prop alt volcaniclastic andesite. The interval looks like a healed fault. Fg py flooding, with cal frac fills. Looks like the fault happened, then the calcite reworked the interval and kind of lump it back together, possibly remobilizing the pyrite into the fractures and matrix. Gray, fg material, possibly moly? Streak grey, soft, found on fractures at ~90.8. wklt mag on some parts at ~87m Monzonite can be observed possibly cutting through the andesite with noticeable med grained texture, prop to potassic alt. kspar noted.",85.95,94.24,PRO,5,"chl, cal, py, hem, mag, ep",86,88.8,0.1,0,0
,,,,,,,,,,,94.24,112.3,SKN,4,ep,88.8,94.24,25,0.1,0
,,,,,,,,,,,112.3,113,SCC,2,"chl, ser, sil",,,,,
,,,,,,,,,,,113,119.5,SKN,3,,,,,,
,,,,,,,,,,,119.5,131,PRO,4,"chl, cal, ser,mag, hem, py",,,,,
,,,,,,,,,,,131,142.5,SKN,4,"ep, grt",,,,,
AXE-23-004,92.1,93.5,MZN,MZN,INT,FMG,XEN,,,"grey to green, medium grained, monzonite? Starting on this interval, the monzonite is intercalated with the volcaniclastic andesite. Monzonite is generally prop altered, weakly mag on some parts",,,,,,94.24,97.9,0.1,0,0
AXE-23-004,93.5,117.5,AND,AND,SVI,FMG,XEN,,,"green to dark green/grey , volcaniclastic andesite/monzonite. Generally prop altered. The interval again looks like intercalated with monzonite. Some parts observed with qtz clasts (qtz eye?) with wkly sil on some parts. Patchy weakly to mod magnetic. Fine to mg texture with ~2mm grain size, some pheno are ""semi"" replaced possibly by epidote? (pistachio green on selvage of wht mineral) some parts is impossible to decipher since alteration is texture destructive. Py is almost non existent in this interval, except for some traces on fractures",,,,,,97.9,119.55,0.1,0.1,0
AXE-23-004,117.5,124.85,MZN,MZN,INT,FMG,XEN,,,"grey to greenish, fine to medium grained, prop alt monzonite. Dark minerals alt to magnetite. Trace py diss",,,,,,119.55,122,0.1,0.1,0
,,,,,,,,,,,,,,,,122,128.5,0.1,0,0
AXE-23-004,124.85,137,MZN,MZN,INT,FMG,XEN,,,"green to grey, fg to mg texture, prop alt monzonite.  Pheno on some parts are not visible due to the destructive nature of the alteration.  Some volcaniclastic andesite can be observed on some parts, notably from the higher magnetite content and darker color, some also has chaotic pheno present.",,,,,,128.5,142.5,0.1,0.1,0
AXE-23-004,137,142.5,AND,AND,VCB,MG,POR,,,"grey to green, mod grained, andesite. Skarn overprinting prop alteration. Moderately magnetic. Some parts has chaotic phenos. Calcite veinlets as observed cutting through some phenos present.  Light phenos seems to be altered to epidote and dark phenos to magnetite.",,,,,,,,,,
AXE-23-004,142.5,151.41,MM,MM,SVI,VFG,APHAN,,,"green to brown skarn. Moderately fractured at the start of the interval. Texture destructive from the alteration. Py flooding at the start of the interval as well, while the brown/greenish material has no pyrite and non magnetic. ~20cm crushed Magnetite ""pod"" notable at ~146.50m.  ~25cm of med grained prop alt monzonite noted at ~147.73m.",142.5,151.41,SKN,7,"ep, grt",142.5,146,25,0,0
,,,,,,,,,,,,,,,,146,151,0.1,0,0
AXE-23-004,151.41,161.22,MZN,MZN,INT,FMG,POR,,,"green to grey, prop alt monzonite. Fg py diss noted. Dark phenos notably alt to chlorite. Porphyritic in texture, with dark min as phenos set on fig matrix",151.41,166.58,PRO,4,"chl, ep, bt, mag",151,161.22,0.1,0.1,0
,,,,,,,,,,,166.58,172.6,SKN,7,"mag, hem, grt, ep, py",,,,,
AXE-23-004,161.22,162.52,MAD,MAD,SVI,FMG,POR,,,"grey to green, porphyritic dyke. Dark min (hbl+-bio) noted as pheno set on a grey fg texture groundmass",,,,,,161.22,164.8,0,0,0
AXE-23-004,162.52,164.8,MZN,MZN,INT,MG,POR,,,"light green to green, med grained, prop alt monzonite. Non magnetic.",,,,,,,,,,
AXE-23-004,164.8,172.6,MM,MM,SVI,VFG,APHAN,,,green to black(due to magnetite) skarn. Texture destructive.  Vfg Py+ccp on fractures and selvages. Wht massive to vuggy calcite veinlets with ccp+py on vugs noted within the interval.  Strongly magnetic..,,,,,,164.8,174.1,5.25,0.25,0
AXE-23-004,172.6,179.08,MZN,MZN,INT,MG,,,,"green to grey, prop altered intrusive possibly monzonite (altered feldspars and dark phenos of altered hbl+-bio). Weakly to moderately magnetic on fractures and on dark phenos. Vfg sulfides noted on groundmass specifically starting 175.6m.",172.6,179.08,PRO,5,"chl, ep, cal, ser, py, hem",174.1,179.08,0.1,0,0
AXE-23-004,179.08,182.15,MM,MM,SVI,FG,XEN,,,"green to black skarn with protolith visible on some parts. Protolith is unidentifiable since its small and the texture is almost destructed. Epi+-chl can be seen overprinting, destructing the original texture of the rock. Observed a ~0.2m of blcak massive magnetite vein from ~179.85m cutting through a 0.2cm wht massive qtz-cal vnlt with py+ccp. Its not defiite if the py+ccp occurred with the qtz-cal vein or after the qtz-cal vein.",179.08,182.15,SKN,5,,179.08,185,1,0.2,0
AXE-23-004,182.15,218,MZN,MZN,INT,FMG,POR,,,"greenish gray, medium grained, monzonite. Clasts consists of altered plag+qtz+hbl+-bio. Some Light minerals are altered to clay, and some dark minerals to magnetite. FROM 191m to 193.4m looks faulted, with dark fg soft material non magnetic, possibly gouge? Or a dark mineral.",182.15,194,PRO,5,"chl, ep, cal",185,191,0.1,0.1,0
,,,,,,,,,,,194,202.4,PRO,5,"chl, ep, ser, hem, mag",191,215,0.5,0,0
,,,,,,,,,,,202.4,218,PRO,5,"chl, ep, cal",,,,,
AXE-23-004,218,219.43,MM,MM,SVI,,,,,green to pale green skarn alt rock (epi+garnet),218,219.43,SKN,3,"ep, grt",215,219.43,0.2,0,0
AXE-23-004,219.43,222.45,MZN,MZN,,FMG,,,,"fine to med grained, prop alt monzonite",219.43,222.45,PRO,4,"chl, ep, cal",219.43,222.45,0.1,0,0
AXE-23-004,222.45,231,AND,AND,VCB,FMG,,,,"light green, fg to mg, volcaniclastic andesite? Based on a flow like texture.",222.45,231,SCC,4,"chl, ser, hem, clay, sil",222.45,231,0.1,0.1,0
AXE-23-004,231,240.63,MZN,MZN,INT,FMG,POR,,,"green to grey, medium grained, prop alt monzonite, patchy moderately magnetic. Trace ox py diss",231,240.63,PRO,4,"chl, hem, cal",231,240.63,0.2,0.1,0
AXE-23-004,240.63,246.4,AND,AND,VCB,MG,XEN,,,"green light green, medium grained, prop-phyllic alt volcaniclastic andesite? Texture looks like chaotic laths especially at the start of the interval. From ~244.9m to 246.4m, observed dull red moderately hard, kspar overprint. Interval is also moderately broken, possibly faulted. Fg py diss on fractures noted",240.63,244.9,PRO,4,"chl, hem, cal",240.63,246,0.1,0,0
,,,,,,,,,,,244.9,246.4,SCC,3,"chl, ser, cal",,,,,
AXE-23-004,246.4,269.32,MZN,MZN,INT,MG,POR,,,"greenish grey with red spots, medium grained, prop alt monzonite",246.4,260.64,PRO,5,"chl, ep, cal, mag, hem",246,248.6,1,0,0
,,,,,,,,,,,260.64,269.32,PRO,4,"chl, ep, cal, mag, py",248.6,254,0.1,0.1,0
AXE-23-004,269.32,274,FBX,FBX,FLT,FG,APHAN,,,"crushed, minor gouge, fault zone. From ~271.4m to 274m, is a sheared zone. Prop weakly argillic altered. Non magnetic. Fg py diss. Calcite vlt noted within the sheared zone",269.32,274,PRO,4,,269.32,274,0.5,0.1,0
AXE-23-004,274,326,DIO,DIO,INT,MG,POR,,,"green to grey medium grained, prop altered diorite?. Moderately faulted on some parts. From ~299 to 318m, observed removed phenocrysts from the rock, possibly light minerals possibly plag or clay.",274,278.2,SCC,4,"chl,ser, cal, mag",274,281.85,0.1,0,0
,,,,,,,,,,,278.2,281.85,PRO,5,"chl, ep",281.85,287.5,0.5,0.1,0
,,,,,,,,,,,281.85,289.05,PRO,4,"chl, cal, ep",287.5,293,0.1,0.1,0
,,,,,,,,,,,289.05,324.7,PRO,4,"chl, ep, cal",,,,,
,,,,,,,,,,,324.7,327,PRO,5,"chl, ep, cal",,,,,
AXE-23-004,326,329.86,DIO,DIO,INT,MG,POR,,,"greenish grey, medium grained, prop to alt, faulted dio? Observed a sheared zone from 328.14 to 329.76m. 6cm Wht ma cal-epi-ser+-hem vein noted at 328.85m. The rock in itself is not magnetic.",327,329.86,ARG,4,ser,326,329.76,0.1,0,0
AXE-23-004,329.86,330.7,MM,MM,INT,FMG,XEN,,,"greyish green, med grained, skarn alt. 0.51m of Magnetite+py+ccp ""pod"" noted from 329.76m.",329.86,330.7,SKN,7,"mag, py, ccp",329.76,331,10,0.1,0
AXE-23-004,330.7,345.45,MZN,MZN,VCB,FMG,POR,,,"faulted, green grey, medium grained monzonite. Generally prop (chl+ser) with, kspar and weakly argillic alt on some parts.",330.7,340.85,PRO,4,"chl, cal",331,335.6,0.5,0,0
,,,,,,,,,,,340.85,344,PRO,4,"chl, ep, cal",335.6,345.45,0.1,0,0
,,,,,,,,,,,344,345.45,ARG,4,,,,,,
AXE-23-004,345.45,345.98,MM,MM,,VFG,,,,magnetite skarn with py+ccp,345.45,345.98,SKN,7,"mag, cpp, py",345.45,345.98,0,0,0
AXE-23-004,345.98,350.6,MZN,MZN,FLT,FG,,,,"faulted, strongly broken green, prop alt monzonite?. Hard to decipher due to brokeness",345.98,350.6,PRO,4,"chl, cal",345.98,349.9,2,0,0
,,,,,,,,,,,,,,,,349.9,350.6,0,0,0
AXE-23-004,350.6,357.56,MAD,MAD,SVI,FG,POR,,,"grey green, prop alt mafic (andesitic?) dyke. Phenos can be observed as wht, soft mineral possibly clay-altered set on a greenish gray fine grained groundmass.",350.6,357.56,PRO,2,"chl, cal",350.6,357.56,0,0,0
AXE-23-004,357.56,400.57,MZN,MZN,VCB,MG,POR,,,"green to grey, prop alt to weakly pot alt brecciated monzonite",357.56,367.76,PRO,4,,357.56,363.4,0.1,0.1,0
,,,,,,,,,,,367.76,389,PRO,4,"chl, ep, cal",363.4,363.83,0,0,0
,,,,,,,,,,,389,400.57,POT,3,,363.83,377,1,0.1,0
AXE-23-004,400.57,424.91,DAC,DAC,DYK,FG,POR,,,"fine grained, weakly sil, weakly prop alt dacite?interval is mod to strongly broken, non magnetic.trace fg py diss and stringers noted on some parts",400.57,424.91,PRO,2,,409,410,0.1,0,0
,,,,,,,,,,,,,,,,410,479,0.1,0,0
AXE-23-004,424.91,430.85,DAC,DAC,DYK,FMG,POR,,,"medium grained, prop lt, weakly sil dacite? Fg py on fractures and diss. Interval is fractured with calcite fills.non magnetic except at the py vein from ~411.9m.",424.91,430.85,PRO,3,"chl, cal",,,,,
AXE-23-004,430.85,434,DAC,DAC,DYK,CG,POR,,,"grey, coarse grained, prop alt to weakly sil, dacite porphyry?  Phenos composed of wht to gry quartz, some parts are overprinted by calcite.  Phenos sizes ranges from 0.3cm to 1.5cm. Some larger phenos looks like a clasts? Possibly just alteration?  Trace Fine grained py diss noted in this interval.late cal veinlets also observed.  Observed 8cm of very fine grained, looks weakly altered rock, possibly xenolith from 433.10m. Weakly magnetic on matrix.",430.85,434,PRO,3,"chl, cal, mag",,,,,
AXE-23-004,434,496.35,DAC,DAC,DYK,VFG,,,,"very grained, prop altered with weakly serecite alteration on fractures, dacite? Non magnetic",434,458.55,PRO,3,"chl, cal",479,496.35,0.1,0,0
,,,,,,,,,,,458.55,496.35,PRO,2,"chl, cal",,,,,
AXE-23-004,496.35,499.67,MAD,MAD,DYK,FG,VES,,,"grey to green, vesicular, mafic andesitic(?) dyke? Vesicles are filled with soft light clay mineral - some are replaced by calcite along the selvages of the vesicles. Generally prop in alteration. Trace fg py diss. Spots of green, fg to med grained dacite noted ~498.8m. Weakly magnetic on some spots",496.35,502,PRO,3,"chl, cal, mag",496.35,502,0.01,0,0
,,,,,,,,,,,502,509,PRO,3,"chl, cal,",,,,,
,,,,,,,,,,,509,511.55,PRO,2,"chl, cal",,,,,
AXE-23-004,499.67,500.7,DAC,DAC,DYK,FMG,POR,,,"fg to mg, chl alt with weakly ser alt on fractures dacite. 0.1% fg py diss",,,,,,,,,,
AXE-23-004,500.7,502.12,MAD,MAD,DYK,FG,VES,,,"grey to green, vesicular, mafic andesitic(?) dyke? Vesicles are filled with soft light clay mineral - some are replaced by calcite along the selvages of the vesicles. Generally prop in alteration. Trace fg py diss weakly magnetic on some parts",,,,,,,,,,
AXE-23-004,502.12,509.9,DAC,DAC,DYK,FMG,POR,,,"fg to mg, chl alt with weakly ser alt on fractures dacite.0.1% wht cal stringers on fractures, trace fg py diss",,,,,,502,548.33,0.1,0,0
AXE-23-004,509.9,511.55,MAD,MAD,DYK,FG,VES,,,"grey to green, vesicular, mafic andesitic(?) dyke? Vesicles are filled with soft light clay mineral - some are replaced by calcite along the selvages of the vesicles. Generally prop in alteration. Trace fg py diss weakly magnetic on some parts. 0.1% wht mas cal stringers",,,,,,,,,,
AXE-23-004,511.55,515.26,DAC,DAC,DYK,FMG,POR,,,"fg to mg, grey-green, chl alt with weakly ser alt on fractures dacite.0.1% wht cal stringers on fractures, trace fg ox py diss.  2cm of wht-green cal-chl vein with magnetite vlt/str, serecite alt on edges from ~514.45m.",511.55,515.66,PRO,2,"chl,cal",,,,,
AXE-23-004,515.26,515.66,MAD,MAD,DYK,FG,VES,,,"grey to green, vesicular, mafic andesitic(?) dyke? Vesicles are filled with soft light clay mineral - some are replaced by calcite along the selvages of the vesicles. Generally prop in alteration",,,,,,,,,,
AXE-23-004,515.66,517.06,DAC,DAC,DYK,FMG,POR,,,"green to grey fractured chl+ser alt dacite, minor hem str noted",515.66,517.06,PRO,3,"cl, cal",,,,,
AXE-23-004,517.06,520.46,MAD,MAD,DYK,FG,VES,,,"grey to grn, vesicular (andesitic?) mafic dyke, with cal filling the veicles, less vesicles than the previous ones. Wht mas cal stringers noted on this interval. Weakly  magnetic.",517.06,520.46,PRO,2,"chl, cal",,,,,
AXE-23-004,520.46,548.33,DAC,DAC,DYK,FG,,,,"green to grey fg prop alt weakly ser on some parts, dacite?",520.46,548.33,PRO,3,"chl, cal",,,,,
AXE-23-004,548.33,549.4,MAD,MAD,DYK,FG,VES,,,"grey to grn, vesicular (andesitic?) mafic dyke, with cal filling the veicles. Weakly magnetic",548.33,549.4,PRO,2,,548.33,549.4,0,0,0
AXE-23-004,549.4,557.7,FBX,FBX,FLT,FG,,,,"grey green, sheared/faulted zone. Fault gouge noted along interval. Chl+cal alt",549.4,557.7,ARG,3,,549.4,557.7,0,0,0
AXE-23-004,557.7,613,DIO,DIO,VCB,MCG,XEN,,,"grey to green, med to coarse grained, brecciated/volcaniclastic dio. Clast size ranges from 1cm to 3cm, some are hem and chl altered. Minor epi+-mag veining noted from 563 to 566m. Generally prop (chl+cal), weakly sil in alteration. Wht mas cal stringers on fractures and py blebs on noted along the interval weakly magnetic on some parts. Possibly Faulted zone from 610.6 to 612.6m.",557.7,578,PRO,4,"chl, cal, ep",557.7,610.6,0.1,0,0
,,,,,,,,,,,578,588.5,PRO,3,,610.6,612.6,0.1,0,0
,,,,,,,,,,,588.5,590.88,PRO,4,,,,,,
,,,,,,,,,,,590.88,598,PRO,3,"cl, cal, mag",,,,,
,,,,,,,,,,,598,606.15,PRO,4,"chl, cal, ep",,,,,
,,,,,,,,,,,606.15,610.6,PRO,3,,,,,,
,,,,,,,,,,,610.6,612.6,PRO,3,"chl,cal",,,,,
AXE-23-004,613,619.16,AND,AND,DYK,FG,,,,"gry to green, med grained, prop alt andesite. Hematite vein noted on some parts, and wht mas cal stringers observed as well.  Patches of fg ox py noted on some parts, and as stringers.  Phenos composed mostly ~1mm of subhedral mod hard, white minerals, possibly plag weakly magnetic on some parts",612.6,620,PRO,3,"chl, cal",612.6,619.6,0.1,0,0
AXE-23-004,619.16,623.4,DIO,DIO,DYK,FMG,,,,"green to grey, medium grained, prop alt dio? (also possible andesite but coarser grained)  epi-cal stringers noted on this interval. Blebs of py noted along fractures, and on some phenos. Hem on fractures noted. Weakly bleached",620,623.35,PRO,4,"chl, cal,",619.6,665,0.1,0,0
AXE-23-004,623.4,707,AND,AND,DYK,FG,,,,"gry to green, fine grained, prop alt andesite. Hematite on some fractures, and epi cal stringers observed as well. Ended the hole since there have been no changes in lith and no significant change in alteration and/or mineralization. Mag anomaly also is at the lowest at this depth. EOH",623.35,632,PRO,3,cl,665,707,0.1,0,0
,,,,,,,,,,,632,637.6,PRO,3,chl,,,,,
,,,,,,,,,,,637.6,665,PRO,3,"chl, cal, ep",,,,,
,,,,,,,,,,,665,695,PRO,3,"chl, cal, ep",,,,,
AXE-23-005,0,3,OVB,OVB,,,,,,hit bedrock. no core recovered.,,,,,,,,,,
AXE-23-005,3,6,CL,CL,,,,,,no core recovered. Casing at 6m,,,,,,,,,,
AXE-23-005,6,21.1,AND,AND,VCB,MCG,SER,POR,,"light green to green, medium to coarse grained, prop alt volcanoclastic/breccia andesite?  Interval looks brecciated, characterized by clasts of diorite minerals.  Polymictic, subhedral clasts that range from ~1mm to 1cm.  Clasts observed to be white mod hard possibly plagioclase, some light clasts are altered by hematite, some patchy kspar alteration noted as well non some parts.  Dark minerals possibly bio, are noted. Dark minerals generally altered to chlorite, and some are weakly altered to magnetite.  Magnetic on some parts. Fine grained py diss and stringers",6,10.28,PRO,4,"chl, ep, weak cal",6,12,0.5,0,0
,,,,,,,,,,,10.28,12.5,PRO,4,"chl, ep, mag, cal",12,18,0.1,0,0
,,,,,,,,,,,12.5,19.9,PRO,4,"chl, cal, ep, mag",18,21.7,0.5,0.1,0
,,,,,,,,,,,19.9,21.1,PRO,3,"chl, cal",,,,,
AXE-23-005,21.1,21.7,AND,AND,DYK,FG,POR,,,"grey, fine grained groundmass, with dark, subhedral phenos (bio+hbl) andesite(?) dyke. Generally prop alt (chl+cal) with cal+ser vlt",21.1,21.7,PRO,1,"chl, cal",,,,,
AXE-23-005,21.7,26.28,AND,AND,VCB,MG,PSBX,,,"greyish to green, mottled texture, volcaniclastic/breccia andesite?  Interval is moderately sheared. Propylitic to argillic alteration.  Clasts are hard to identify due to alteration and shearedness. Though some clasts exhibit subhedral structure, wht mod hardness, possibly plag.  Patchy kspar alt on light minerals noted. And chlorite alt on dark phenos. Hematite on fractures. Fine grained py diss noted.",21.7,30.1,PRO,4,"chl, cal, ep, mag",21.7,30.1,0.1,0,0
AXE-23-005,26.28,30.1,AND,AND,VCB,FMG,,,,"greenish grey, faulted, fine grained, volcaniclastic/breccia andesite. Phenos unidentifiable due to faulting and alteration.  Generally prop alt, wht cal veinlets noted. Epidote overprint observed. 0.15m of greenish, medium grained, prop altered possibly diorite intrusion noted from ~27.44m. Phenos composed of ~1mm dark and white minerals. White min possibly plag altered some to clay, while dark min noted tp be altered to chlorite and magnetite. Core loss within this interval as well with 1.45m recovery. Casingf at 30m.",,,,,,,,,,
AXE-23-005,30.1,32.63,AND,AND,VCB,FG,APHAN,,,"pale green, fg, prop to weakly argillic alt, volcaniclastic/breccia andesite. ~<1mm of white minerals noted to be replaced by calcite. Dark minerals observed to be elongated, possibly hbl replaced by chlorite. Pervasive hem alteration, overprinted by calcite veinlets and overprinted again by argillic alt. non magnetic. Py+-ccp on fractures noted.",30.1,32.63,ARG,3,,30.1,32.63,0.5,0.1,0
AXE-23-005,32.63,59,DIO,DIO,INT,FMG,PSBX,,,"greenish grey, medium grained, prop with pervasive epidote alt diorite wht soft minerals, with <1mm in size, altered to cal. Dark min altered to magnetite and chlorite.  Minor bio replacement on some phenos noted disseminated through the interval.  Wht mass cal-ser vein through frac observed.  Weak to mod magnetic.",32.63,48.81,PRO,4,"chl, cal, ep, mag",32.63,39,0.5,0,0
,,,,,,,,,,,48.81,59,SKN,3,"cp,act,chl, mag",39,48.81,0.1,0,0
,,,,,,,,,,,,,,,,48.81,59,1,0.1,0
AXE-23-005,59,66.21,DIO,DIO,INT,FMG,PSBX,,,"greenish grey, fg to mg, faulted, skarn altered diorite.  Observed at ~60m, a ~5cm brecciated coarse grained rock, possibly xenolith from lower depth. Phenos ranges from 1cm to 3cm, observed to be white equigranular, possibly plag/qtz. Wht mas cal veinlets cut by hematite noted throughout the interval, others observed cut by fractures/shear, indicating that cal vl are older than the structure.  Py+-ccp noted around 60.80m.",59,66.21,SKN,3,"ep, act",59,66.21,0.5,0.1,0
AXE-23-005,66.21,68.75,MM,MM,,FG,,,,"green, strong skarn alt. texture destructive.minor vuggy texture filled with cal at ~ 68.58m. Minor bio+mag replacement noted. Brownish anhedral mineral possibly garnet noted along the interval. Hematite on frac observed. Late wht mas cal vlt/stringers observed as well.",66.21,68.75,SKN,6,"mag, bt",66.21,68.75,0.1,0.1,0
AXE-23-005,68.75,71.15,AND,AND,VCB,MCG,SER,,,"green to grey, medium to coarse grained, polymictic clasts, volcaniclastic andesite?  Clasts observed to be ~1mm to 5mm, some are observed to be hematite altered. Some dark minerals replaced by chl and mag. ~4cm of Red to pinkish, medium grained, possibly a dike noted from 68.75m interval generally prop in alt, phyllic alt noted as fracture halo.",68.75,71.2,PRO,4,"chl, cal,ep, mag",68.75,72,0.1,0,0
AXE-23-005,71.15,78,AND,AND,FLT,FMG,,,,"grey to green, fg to mg,faulted volcaniclastic andesite?  Core loss at ~78m, drillers described it as dark colored rock, possibly magnetite from the skarn lith above.  Minor fault gouge noted throughout the interval. Magnetic Start of where the drillers is having a hard time drilling.",71.2,87.35,PRO,4,"chl, cal,mag",,,,,
AXE-23-005,78,87.35,AND,AND,FLT,MCG,SER,,,"grey to green, fg to mg,faulted volcaniclastic andesite? Polymictic clasts ranges from ~1mm to 6mm. Dark minerals altered to chl and magnetite. Light minerals altered to white soft mineral possibly serecite?  Wht, equigranular possibly plag noted on some parts.  Weakly argillic alteration - although structurally controlled. Fg py+ccp stringers observed near epidote alteration. Interval is faulted and drillers have a hard time drilling, more casing from this depth. Abandoned hole due to drillers had a hard time drilling and redrilling. EOH",,,,,,72,87.35,0.1,0,0
AXE-23-006,0,3,CL,CL,,,,,,Hit bedrock at 3m.,,,,,,,,,,
AXE-23-006,3,7,CL,CL,,,,,,no recovery. Core loss. Casing at 6m,,,,,,,,,,
AXE-23-006,7,15,AND,AND,VCB,FG,,,,"grey to green, fine grained volcaniclastic andesite.  Texture is hard to see with overprinting of epidote alteration.  Some wht phenos possibly plag noted, dark min altered to mag on some parts",7,9.68,PRO,4,"chl, ep, mag",7,9.68,0.1,0,0
,,,,,,,,,,,9.68,15,PRO,4,"chl, ep, hem",9.68,15,0.1,0,0
AXE-23-006,15,15.54,MAD,MAD,DYK,FG,,,,"grey fine grained mafic dyke. Anhedral dark minerals, with size ranges from ~1 to 2mm, set in a very fine matrix. Dark minerals are weakly alt, to a softer mineral, possibly chl or clay.",15,15.54,PRO,2,"cl, cal",15,15.54,0,0,0
AXE-23-006,15.54,30.09,AND,AND,VCB,FMG,,,,"grey to green, fine o medium grained, prop alt volcaniclastic andesite.  The epidote alteration is pervasive with mottled texture.  Grains of the andesite is white  mineral some are altered to clay. Dark min are altered by chl.",15.54,30.09,PRO,3,"chl, cal,ep, mag",15.54,30.09,0.1,0.1,0
AXE-23-006,30.09,33.54,AND,AND,FLT,FG,,,,"grey to green, fine grained, prop alt volcaniclastic andesite.  The epidote alteration is pervasive with mottled texture. The interval is faulted with minor gouge",30.09,37,SKN,3,ep,30.09,32.6,5,0.1,0
,,,,,,,,,,,,,,,,32.6,33.53,10,0,0
AXE-23-006,33.54,37,AND,AND,VCB,,,,,"green,volcaniclastic andesite. texture destructive alteration - intense epidote overprint  weak to mod skarn alteration.",,,,,,33.53,41.4,5,0,0
AXE-23-006,37,40.4,AND,AND,VCB,,,,,"green, volcaniclastic andesite with mod to strong skarn (epi+ac) alt",37,41.4,SKN,5,"ep, act",,,,,
,,,,,,,,,,,41.4,48,PRO,3,"chl, cal, ep",,,,,
AXE-23-006,40.4,48,AND,AND,FLT,FG,,,,"light green to light grey, creamy colored. Faulted. Volcaniclastic andesite. Prop to weakly argillic alt. minor gouge noted.",,,,,,41.4,53.43,0.1,0,0
