,Lithology,,,,,,,,,,Alteration,,,,,Mineralization,,,,
"Hole 
Number","From 
(m)","To 
(m)","Base 
Lithology","Litho 
Detailed","Lith 
General","Lith
Grain Size","Lith
Texture1","Lith 
Texture2","Lith
Texture3",Lith Description,"Alt 
From (m)","Alt
To (m)","Dominant 
Alteration",Intensity,Dominant Alt Mins,"Min 
From (m)","Min
To (m)","Py pct
NV*","Ccp pct
NV*","Bn pct
AXE-23-001,102.42,154.02,DIO,DIO,VCB,FMG,POR,XEN,,"med-dark grey-green diorite. Heavily fractured and faulted, some things hard to see in rock. Looks slightly volcanoclastic with some sub-rounded clasts in groundmass but not enough to be breccia. Fine-med grained, plag and hornblende phenos up to ~2mm in size. Strong prop alt seems to be making rock soft and brittle throughout. Mod-str patches of mag throughout with some un-magnetic rock. There is one small andesite dyklet at ~137.10m (difficult to tell where it starts or end in the broken rock), ~15cm long. Last ~1m has magnetite and epidote in some of the fault rubble",102.42,152.55,PRO,6,Chl+act+/-ep,102.42,143.7,2,0.1,0
,,,,,,,,,,,152.55,154.02,SKN,5,Magnetite+ep+garnet,143.7,154.02,2,0.2,0
AXE-23-001,154.02,156.42,AND,AND,DYK,FG,POR,CHL,,dark grey andesite dyke. Fine grained with some act altered hornblende phenos up to 4mm. Chilled margins at top and bottom. Cal filled amygdules.,154.02,156.42,PRO,5,Act+chl,154.02,156.42,0.1,0,0
AXE-23-001,156.42,162.8,MM,MM,FLT,FMG,MEL,,,"black magnetite skarn altered rock with some green. Rock has been completely altered and replaced with mostly magnetite and some epidote. Some patches of prop minerals can be seen but all texture has been destroyed and the rock is mostly sandy. The rock is rubbly from faulting probably. Some large vns and blebs of cpy throughout. Sharp top contact between andesite and skarn is intact, 39 dtca.",156.42,162.8,SKN,7,Magnetite+ep+garnet,156.42,162.8,15,5,0
AXE-23-001,162.8,227.5,DIO,DIO,VCB,FMG,XEN,POR,,"light-med grey-green volcanoclastic diorite. Variegated colour between grey and green ep. Much of rock is broken up and flted. Chaotic looking brecciation in intact pieces, many lith types, diorite pieces with some andesite, possible rhyolite and/or monzonite, frags of the magnetite skarn looking material, many sub-rounded with a few slightly angular, avg size is a few cms. Much of texture is obscured by alt and rubble, some plag and hornblende phenos visible up to 2mm. Patchy wk-mod mag throughout, some spots with no mag. A small andesite dyke is found at 219.70-219.92m that looks like the others previously seen.",162.8,181.5,PRO,5,Act+chl+ep,162.8,170,0.25,0.1,0.1
,,,,,,,,,,,181.5,200,SKN,5,Magnetite+ep+garnet,170,185.25,0.1,0,0
AXE-23-001,227.5,233.26,AND,AND,DYK,FG,XEN,POR,CHL,"med-dark grey-green tuffaceous to volcanic andesite. This unit looks like it could be two types of volcanic rock or dykes; the top from 227.5-229m is unusually low in SiO2 (from XRF, ~40%) which makes it nearly basaltic in composition. The top of the unit also displays what looks like tuffaceous textures like flow banding/deformation with glassy white tabular clasts or phenos (plag?) up to 4mm and eutaxtic veining (undulatory/deformed veining around the clasts/crystals) but it also has similar porphyritic hornblende throughout like the one below or the dykes seen earlier in the hole. The groundmass is fine with chl/act alt throughout and many small blebs of hematite-magnetite. Top and bottom of this section is broken up and might have core loss so it is unclear if there could be chill margins. From 229~230.85m may be incorporated rock from the diorite or more messed up volcanics/dyke material but it's unclear due to flting and rubble. From ~230.85-233.26m the rock looks much more like the andesite dykes seen before with porphyritic hornblende replaced by hornblende and containing cal amygdules. There are chill margins at the start and end of this ""true"" andesite. Wk-mod mag throughout except through the middle section where there is trace-wk magnetism.",227.5,229,PRO,5,Act+chl,227.5,230.85,0.1,0,0
,,,,,,,,,,,229,230.85,PRO,6,Act+chl,230.85,233.26,0.1,0,0
,,,,,,,,,,,230.85,233.26,PRO,4,Act+chl,,,,,
AXE-23-001,233.26,249.3,DIO,DIO,VCB,FMG,XEN,POR,,med grey-dark green volcanoclastic/brecciated diorite. Similar to the unit above the dyke with polymictic clasts/breccia composition. Wk mag throughout with some mod patches.,233.26,249.3,PRO,6,Act+chl+/-ep,233.26,249.3,1,0.3,0
AXE-23-001,249.3,254,DIO,DIO,VCB,FMG,XEN,MEL,,"dark green to black skarn altered rock. Some spots have slightly less skarn alt and seem to look like a diorite like above, so is probably the protolith. Rock is mostly just fine grained actinolite and magnetite with ep and spots of brown-red garnets  (andradite?) that look slightly decomposed. The diorite looking sections have some med grained crystals visible. Mod-Intense magnetism, especially in the black magnetite section.",249.3,254,SKN,7,Magnetite+act+ep,249.3,252.7,6,0.7,0
,,,,,,,,,,,,,,,,252.7,254,15,2,0
AXE-23-001,254,256.65,DIO,DIO,VCB,FMG,XEN,POR,,"light green-grey diorite. Possibly brecciated, hard to see any texture in intense propylitic alt and most is broken into small pieces. Rock is composed mostly of what looks like chlorite, sericite, and calcite groundmass with dark green spots that are probably actinolite replacing hornblende that look up to 3mm in size. No magnetism.",254,256.65,PRO,7,Chl+act+ser,254,256.65,0.1,0,0
AXE-23-001,256.65,260.35,MM,MM,FLT,FMG,MEL,,,"black to dark green magnetite skarn. Almost completely composed of magnetite and some actinolite. Protolith could be faulted volcanics due to how rubbly and gougy the rock looks, and the bottom looks like gouge faults. Texture is like a silty clay with sandy material",256.65,260.35,SKN,7,Magnetite+act,256.65,260.35,5,4,0
AXE-23-001,260.35,276.48,DIO,DIO,VCB,FMG,XEN,POR,,"light green volcanoclastic/brecciated diorite. Most of unit is rubble so textures and features are hard to see. Some intact zones have clasts of possibly diorite and other rock types up to 4cm. Groundmass is quite carbonaceous, mostly composed of what looks like chl cal ser and act. Possible phenos of hornblende that have been replaced by ser and/or cal up to 2mm. Wk pchy mag throughout.",260.35,276.48,PRO,7,Chl+act+/-ep,260.35,271,0.1,0.1,0
,,,,,,,,,,,,,,,,271,285.7,0.5,0.1,0
AXE-23-001,276.48,277.65,AND,AND,DYK,FG,POR,CHL,AMG,"med grey-green andesite dyke. Similar to the other andesite dykes seen throughout the hole. Porphyritic 2mm hornblende replaced by actinolite, less and smaller cal filled amygdules. Mod mag, but no biotite this time. Less phenos and finer grained at top and bottom, chill margin.",276.48,277.65,PRO,4,Act+chl,285.7,293,0.5,0.1,0
AXE-23-001,277.65,284.55,DIO,DIO,VCB,FMG,XEN,POR,,med green-grey becciated diorite. Chaotic looking texture with some deformation. Some porph texture seen in some rock with many clasts of possibly andesite/diorite origin. Some looks to have layering from either deformation metamorphism or flow banding. Of phenos seen it looks like altered plag and hornblende ~2mm in size. Wk-mod pchy mag throughout.,277.65,284.55,PRO,7,Act+chl+/-ep,,,,,
AXE-23-001,284.55,285.55,AND,AND,DYK,FG,POR,AMG,,"med green-grey andesite dyke. Looks similar to the dykes seen throughout the hole, except the black spots from about the middle and down are larger up to 8mm and look more like clasts. These ""clasts"" look sub-rounded to angular and are slightly mottled black and white, which could be act and ser or chl replacing them (darker on the outside and more transluscent-green towards the inside). Mod mag throughout. No apparent chill margins. Slightly amydaloidal with cal fill.",284.55,285.55,PRO,5,Act+chl+ser,,,,,
AXE-23-001,285.55,320.35,DIO,DIO,VCB,FMG,XEN,POR,,"light-med grey-green brecciated diorite. Plag and hornblende phenos are visible, mostly 1mm in size. Chaotic looking breccia clasts seen throughout up to a few cms, composed of diorite and possibly andesite. There is what looks like a small andesite dyke from ~290.35-290.75m that looks similar to the other dykes that have been seen through the hole. Past this dyke the rock becomes very broken and faulted until ~318m.",285.55,293,PRO,4,Act+chl+ep,293,320,0.5,0.1,0
,,,,,,,,,,,293,305,PRO,4,Act+chl+ep,,,,,
,,,,,,,,,,,305,320,PRO,4,Act+ep+chl,,,,,
,,,,,,,,,,,320,323.35,SKN,7,Magnetite+act+ep,,,,,
AXE-23-001,320.35,323.35,MM,MM,FLT,FMG,MEL,,,black to dark green magnetite skarn. Unit is almost completely altered to magnetite skarn rich in act mag and py. Lots of the unit has clay and crumbly rock so may have been a flt or series of flts. Grainsize is from a fine clay like mag dust to med grained crystals. Highly magnetic.,,,,,,320,324.9,15,0.1,0
