Point number,Sample Number,Site ID,Target,Grid,UTM_East,UTM_North,Elevation (m),Sample Type,Standard Type,Date_Sampled,Sampler,Moisture,Angularity,Depth_cm,Horizon,Color,Site Vegetation,Texture,Description,Ag ppm AuME-ST43,Al % AuME-ST43,As ppm AuME-ST43,Au ppm AuME-ST43,Au ppm AuME-ST43 status,Au ppm AuME-ST43 certificate,Au ppm AuME-ST43 certificate completed,Au ppm AuME-ST43 laboratory,Au ppm AuME-ST43 sample analysis workflow,B ppm AuME-ST43,Ba ppm AuME-ST43,Be ppm AuME-ST43,Bi ppm AuME-ST43,Ca % AuME-ST43,Cd ppm AuME-ST43,Ce ppm AuME-ST43,Co ppm AuME-ST43,Cr ppm AuME-ST43,Cs ppm AuME-ST43,Cu ppm AuME-ST43,Cu ppm AuME-ST43 status,Cu ppm AuME-ST43 certificate,Cu ppm AuME-ST43 certificate completed,Cu ppm AuME-ST43 laboratory,Cu ppm AuME-ST43 sample analysis workflow,Fe % AuME-ST43,Ga ppm AuME-ST43,Ge ppm AuME-ST43,Hf ppm AuME-ST43,Hg ppm AuME-ST43,In ppm AuME-ST43,K % AuME-ST43,La ppm AuME-ST43,Li ppm AuME-ST43,Mg % AuME-ST43,Mn ppm AuME-ST43,Mo ppm AuME-ST43,Na % AuME-ST43,Nb ppm AuME-ST43,Ni ppm AuME-ST43,P % AuME-ST43,Pb ppm AuME-ST43,Pd ppm AuME-ST43,Pt ppm AuME-ST43,Rb ppm AuME-ST43,Re ppm AuME-ST43,Recvd Wt. kg WEI-21,S % AuME-ST43,Sb ppm AuME-ST43,Sc ppm AuME-ST43,Se ppm AuME-ST43,Sn ppm AuME-ST43,Sr ppm AuME-ST43,Ta ppm AuME-ST43,Te ppm AuME-ST43,Th ppm AuME-ST43,Ti % AuME-ST43,Tl ppm AuME-ST43,U ppm AuME-ST43,V ppm AuME-ST43,W ppm AuME-ST43,WT. SAMPLE g AuME-IC43i,WT. SAMPLE g AuME-MS43i,Y ppm AuME-ST43,Zn ppm AuME-ST43,Zr ppm AuME-ST43,parent sample number
KDK_Soils_2023,178751,NWZ069,WEST,NAD83_U10,677801,5503005,,REG,,07/05/2023,MP,Dry,Sub-rounded,20,B Horizon,brown,Forest,Sandy Silt,"Disturbed, replanted area",0.144,1.76,3.42,0.0013,Imported,VA23178295,07/28/2023,ALS,ALS,2,138.5,0.294,0.087,0.29,0.235,10.75,9.2,12.65,0.478,24.2,Imported,VA23178295,07/28/2023,ALS,ALS,2.48,5.16,0.022,0.092,0.029,0.02,0.06,3.57,7.8,0.46,836,0.484,0.012,0.486,9.92,0.0921,5.27,0.001,0.0005,4.81,0.0002,0.44,0.012,0.15,3.78,0.14,0.39,17.65,0.0025,0.049,0.588,0.0707,0.0392,0.269,52.9,0.061,24.922,24.922,3.11,89.4,2.97,
KDK_Soils_2023,178752,Nwz068,WEST,NAD83_U10,677746,5503002,,REG,,06/16/2023,EG,Damp,Sub-rounded,20,B Horizon,lt brown,Forest,Silty Sand,Loose gravel. Replanted area ,0.148,2.73,3.38,0.0015,Imported,VA23178295,07/28/2023,ALS,ALS,2,162,0.428,0.1035,0.32,0.394,12.25,11,14.75,0.73,45.1,Imported,VA23178295,07/28/2023,ALS,ALS,2.75,7.17,0.024,0.188,0.037,0.028,0.07,3.97,11.2,0.76,1160,0.609,0.017,0.585,11.2,0.0985,14.35,0.001,0.0005,6.15,0.0002,0.52,0.014,0.156,5.67,0.114,0.5,25.6,0.0025,0.043,0.723,0.0775,0.0616,0.295,66.5,0.074,25.08,25.08,3.75,129.5,6.36,
KDK_Soils_2023,178753,NWZ067,WEST,NAD83_U10,677700,5503003,,REG,,06/16/2023,KN,Damp,Sub-rounded,25,B Horizon,brown,Forest,Silty Sand,,0.091,2.09,2.88,0.0007,Imported,VA23178295,07/28/2023,ALS,ALS,2,134.5,0.338,0.0899,0.36,0.261,10.8,9.36,13.6,0.505,25.5,Imported,VA23178295,07/28/2023,ALS,ALS,2.63,5.74,0.023,0.094,0.021,0.02,0.08,3.56,9.1,0.46,725,0.487,0.012,0.471,10.15,0.0723,5.22,0.001,0.0005,5.82,0.0001,0.56,0.01,0.129,4.09,0.106,0.42,18.05,0.0025,0.048,0.671,0.0822,0.0414,0.308,58.5,0.057,25.074,25.074,3.19,93.6,3.35,
KDK_Soils_2023,178754,Nwz066,WEST,NAD83_U10,677649,5503001,,REG,,06/16/2023,EG,Damp,Sub-rounded,10,B Horizon,lt brown,Forest,Silty Sand,Many roots difficult to sample,0.037,1.6,2.36,0.0021,Imported,VA23178295,07/28/2023,ALS,ALS,2,90.6,0.234,0.0789,0.48,0.065,9.23,7.59,12.8,0.235,18.85,Imported,VA23178295,07/28/2023,ALS,ALS,2.51,4.44,0.018,0.088,0.024,0.02,0.04,2.78,7,0.38,250,0.437,0.012,0.623,7.17,0.0153,4.11,0.0005,0.0005,2.54,0.0001,0.48,0.012,0.121,3.97,0.149,0.34,16.95,0.0025,0.051,0.399,0.0658,0.0262,0.244,62.6,0.048,25.034,25.034,2.75,47,3.08,
KDK_Soils_2023,178755,Nwz065,WEST,NAD83_U10,677603,5503001,,REG,,06/16/2023,EG,Damp,Sub-angular,20,B Horizon,lt brown,Forest,Silty Sand,Replanted area,0.05,1.99,2.73,0.0019,Imported,VA23178295,07/28/2023,ALS,ALS,1,134,0.305,0.0946,0.34,0.065,10.55,7.75,12.35,0.299,33.8,Imported,VA23178295,07/28/2023,ALS,ALS,2.54,5.34,0.02,0.061,0.031,0.022,0.03,3.71,8.1,0.37,195.5,0.417,0.014,0.592,8.23,0.0353,4.48,0.001,0.0005,2.74,0.0001,0.36,0.012,0.127,3.83,0.146,0.42,18.05,0.0025,0.051,0.452,0.059,0.0299,0.315,58.2,0.078,24.544,24.544,3.91,52.7,2.13,
KDK_Soils_2023,178756,NWZ064,WEST,NAD83_U10,677551,5503002,,REG,,06/16/2023,KN,Damp,Sub-angular,25,B Horizon,brown,Forest,Silty Sand,,0.075,2.4,2.83,0.0014,Imported,VA23178295,07/28/2023,ALS,ALS,2,149.5,0.391,0.1045,0.52,0.06,13.85,7.99,11.5,0.506,36.4,Imported,VA23178295,07/28/2023,ALS,ALS,2.54,6.31,0.023,0.174,0.031,0.028,0.03,4.47,8.3,0.35,285,0.359,0.02,0.7,8.62,0.047,4.51,0.001,0.0005,3.86,0.0001,0.42,0.012,0.116,4.38,0.231,0.5,27.4,0.0025,0.054,0.805,0.0689,0.0398,0.519,52.7,0.073,25.078,25.078,5.1,59.2,6.55,
KDK_Soils_2023,178757,Nwz063,WEST,NAD83_U10,677499,5503001,,REG,,06/16/2023,EG,Damp,Sub-angular,30,B Horizon,lt brown,Forest,Silt,,0.075,2.24,3.66,0.0068,Imported,VA23178295,07/28/2023,ALS,ALS,2,147,0.368,0.0984,0.29,0.068,13.2,9.15,12.85,0.551,42,Imported,VA23178295,07/28/2023,ALS,ALS,2.73,5.8,0.024,0.098,0.027,0.028,0.04,4.37,8,0.37,514,0.497,0.013,0.576,9.64,0.0895,4.38,0.002,0.0005,4.41,0.0002,0.44,0.01,0.136,4.48,0.137,0.45,16.2,0.0025,0.074,0.656,0.0721,0.0399,0.334,56.1,0.07,24.835,24.835,5.53,66.9,3.64,
KDK_Soils_2023,178758,Nwz062,WEST,NAD83_U10,677453,5503002,,REG,,06/16/2023,EG,Damp,Sub-angular,15,B Horizon,lt brown,Forest,Silty Sand,Replanted area,0.116,2.07,3.96,0.0031,Imported,VA23178295,07/28/2023,ALS,ALS,2,132.5,0.363,0.0921,0.33,0.099,12.6,11,16.65,0.454,41,Imported,VA23178295,07/28/2023,ALS,ALS,3.1,5.7,0.029,0.067,0.021,0.026,0.05,4.43,8.6,0.55,573,0.499,0.012,0.369,11.45,0.0845,3.77,0.003,0.0005,4.87,0.0001,0.42,0.009,0.16,5.35,0.186,0.41,20.3,0.0025,0.077,0.619,0.0877,0.0323,0.317,71.5,0.055,25.064,25.064,5.21,70.7,2.62,
KDK_Soils_2023,178759,NWZ061,WEST,NAD83_U10,677396,5502999,,REG,,06/16/2023,KN,Damp,Sub-angular,20,B Horizon,brown,Forest,Silty Sand,Near road,0.144,2.05,3.07,0.0018,Imported,VA23178295,07/28/2023,ALS,ALS,2,141,0.327,0.1085,0.22,0.097,10.25,9.01,10.7,0.535,56,Imported,VA23178295,07/28/2023,ALS,ALS,2.43,5.75,0.021,0.112,0.024,0.023,0.05,3.21,7.8,0.32,930,0.571,0.013,0.544,8.7,0.0869,4.41,0.001,0.0005,5.22,0.0001,0.36,0.011,0.113,3.36,0.166,0.43,11.85,0.0025,0.07,0.579,0.0685,0.0428,0.279,49.9,0.062,25.086,25.086,2.98,78.1,3.45,
KDK_Soils_2023,178760,,,,,,,Control,Coarse Blank - Sand,,,,,,,,,,,0.071,0.98,4.59,0.0011,,VA23178295,07/28/2023,ALS,ALS,4,114,0.447,0.1195,1.28,0.175,21.7,10.75,21.4,0.741,41.9,,VA23178295,07/28/2023,ALS,ALS,2.53,3.69,0.066,0.145,0.035,0.025,0.09,9.24,9.2,0.61,539,0.883,0.024,0.543,17.75,0.0778,6.86,0.001,0.0005,5.3,0.0004,0.66,0.02,0.343,5.13,0.113,0.48,85.4,0.0025,0.028,2.6,0.0526,0.0652,0.614,62.1,0.072,25.03,25.03,8.77,61.5,5.25,
KDK_Soils_2023,178761,Nwz060,WEST,NAD83_U10,677351,5503007,,REG,,06/25/2023,CV,Damp,Sub-rounded,20,B Horizon,OB,Forest,Sandy Silt,Near road,0.131,2.1,3.95,0.0034,Imported,VA23178295,07/28/2023,ALS,ALS,1,147.5,0.389,0.1015,0.24,0.094,13,10.3,15.05,0.565,47.7,Imported,VA23178295,07/28/2023,ALS,ALS,2.59,5.96,0.027,0.126,0.03,0.023,0.05,3.97,8.1,0.38,830,0.841,0.01,0.67,10.15,0.0977,4.91,0.001,0.0005,5.07,0.0001,0.54,0.009,0.143,4.02,0.147,0.45,13.45,0.0025,0.067,0.722,0.0729,0.0437,0.326,61.5,0.094,25.082,25.082,3.53,81.9,4.51,
KDK_Soils_2023,178762,Nwz059,WEST,NAD83_U10,677299,5503003,,REG,,06/16/2023,EG,Damp,Sub-rounded,15,B Horizon,brown,Forest,Sandy Silt,Side of ravine ,0.049,1.66,3.43,0.001,Imported,VA23178295,07/28/2023,ALS,ALS,2,97.4,0.298,0.082,0.37,0.089,8.41,9.77,16.45,0.248,28.3,Imported,VA23178295,07/28/2023,ALS,ALS,2.88,4.86,0.03,0.049,0.012,0.017,0.08,3.58,6.5,0.49,560,0.458,0.009,0.463,9.8,0.0526,3.65,0.001,0.0005,3.97,0.0002,0.44,0.006,0.153,4.78,0.165,0.35,16.8,0.0025,0.081,0.412,0.092,0.026,0.252,72.9,0.051,25.032,25.032,3.63,67.9,1.84,
KDK_Soils_2023,178763,Nwz058,WEST,NAD83_U10,677244,5502975,,REG,,06/16/2023,BA,Dry,Sub-rounded,30,B Horizon,brown,Forest,Gravelly,,0.16,1.84,9.87,0.0032,Imported,VA23178295,07/28/2023,ALS,ALS,2,128.5,0.376,0.0942,0.57,0.27,15.55,12.45,20.3,0.343,66,Imported,VA23178295,07/28/2023,ALS,ALS,3.47,5.45,0.05,0.089,0.043,0.032,0.04,6.33,7.1,0.66,751,0.714,0.012,0.401,12.1,0.0858,8.53,0.001,0.001,2.98,0.0004,0.7,0.01,0.382,8.03,0.28,0.35,25.6,0.0025,0.104,0.671,0.0914,0.0514,0.375,84.2,0.062,25.049,25.049,9.58,110.5,3.62,
KDK_Soils_2023,178764,Nwz057,WEST,NAD83_U10,677199,5503001,,REG,,06/17/2023,BA,Dry,Sub-rounded,30,B Horizon,red-brown,Forest,Gravelly,,0.109,1.82,6.3,0.0007,Imported,VA23178295,07/28/2023,ALS,ALS,2,106,0.35,0.1025,0.23,0.146,12.05,8.79,12.6,0.516,30.4,Imported,VA23178295,07/28/2023,ALS,ALS,2.49,5.22,0.027,0.129,0.041,0.026,0.04,3.93,6.4,0.32,864,0.634,0.013,0.648,8,0.1125,6.05,0.0005,0.0005,4.15,0.0001,0.62,0.01,0.156,3.87,0.192,0.41,11.25,0.0025,0.075,0.678,0.0707,0.0498,0.316,57.5,0.07,25.017,25.017,4.01,101,4.6,
KDK_Soils_2023,178765,Nwz056,WEST,NAD83_U10,677148,5502997,,REG,,06/17/2023,BA,Dry,Sub-rounded,35,B Horizon,brown,Forest,Gravelly,,0.168,1.66,4.39,0.0005,Imported,VA23178295,07/28/2023,ALS,ALS,2,90.4,0.311,0.0866,0.26,0.182,7.53,7.57,10.85,0.521,19.1,Imported,VA23178295,07/28/2023,ALS,ALS,2.23,5.03,0.022,0.068,0.031,0.023,0.04,2.78,6.3,0.28,883,0.575,0.014,0.682,7.34,0.0751,6.79,0.0005,0.0005,3.88,0.0001,0.52,0.008,0.132,3.01,0.137,0.4,13.4,0.0025,0.053,0.505,0.0738,0.0471,0.229,52.9,0.065,25.023,25.023,2.54,126,2.64,
KDK_Soils_2023,178766,Nwz055,WEST,NAD83_U10,677101,5503007,,REG,,06/17/2023,BA,Dry,Sub-rounded,35,B Horizon,brown,Forest,Gravelly,,0.215,1.77,4.95,0.0009,Imported,VA23178295,07/28/2023,ALS,ALS,2,117.5,0.32,0.0721,0.37,0.701,8.3,8.29,13.55,0.42,18.95,Imported,VA23178295,07/28/2023,ALS,ALS,2.42,5.33,0.023,0.084,0.022,0.02,0.07,3.31,6.5,0.37,623,0.461,0.011,0.575,8.75,0.0862,6.97,0.001,0.0005,5.17,0.0001,0.58,0.006,0.186,3.57,0.1,0.37,18.8,0.0025,0.038,0.518,0.0744,0.0582,0.235,60.6,0.056,25.003,25.003,2.73,142.5,3.08,
KDK_Soils_2023,178767,Nwz054,WEST,NAD83_U10,677047,5503002,,REG,,06/17/2023,BA,Damp,Sub-angular,20,B Horizon,red-brown,Forest,Gravelly,Replanted area,0.141,2.1,5.81,0.01,Imported,VA23178295,07/28/2023,ALS,ALS,2,123.5,0.41,0.0964,0.27,0.136,14.35,8.53,13,0.541,33.3,Imported,VA23178295,07/28/2023,ALS,ALS,2.54,5.89,0.031,0.1,0.037,0.028,0.04,4.87,6.8,0.35,934,0.61,0.009,0.727,7.95,0.0906,7.07,0.0005,0.0005,5.26,0.0001,0.5,0.01,0.178,4.08,0.209,0.44,13.25,0.0025,0.065,0.611,0.0667,0.0497,0.346,55.3,0.074,25.007,25.007,5.56,87.6,3.88,
KDK_Soils_2023,178768,Nwz053,WEST,NAD83_U10,676997,5502998,,REG,,06/17/2023,BA,Dry,Sub-rounded,30,B Horizon,brown,Forest,Gravelly,Replanted area,0.172,2.13,5.3,0.001,Imported,VA23178295,07/28/2023,ALS,ALS,1,149,0.405,0.0953,0.25,0.129,13.05,8.63,14.65,0.544,24.4,Imported,VA23178295,07/28/2023,ALS,ALS,2.69,6.24,0.029,0.131,0.038,0.026,0.04,4.49,7.6,0.39,661,0.637,0.011,0.668,8.77,0.0979,8.36,0.0005,0.001,5.07,0.0001,0.58,0.009,0.194,4.21,0.157,0.45,14.5,0.0025,0.056,0.734,0.0701,0.057,0.337,62,0.074,25.048,25.048,4.44,95.2,4.48,
KDK_Soils_2023,178769,Nwz052,WEST,NAD83_U10,676951,5503003,,REG,,06/17/2023,BA,Dry,Angular,25,B Horizon,red-brown,Clear Cut,Gravelly,Near outcrop,0.167,2.56,5.35,0.0018,Imported,VA23178295,07/28/2023,ALS,ALS,1,131.5,0.49,0.107,0.3,0.131,16.7,8.75,15.65,0.77,40.4,Imported,VA23178295,07/28/2023,ALS,ALS,2.86,6.93,0.038,0.108,0.033,0.025,0.04,5.77,9.1,0.42,748,0.639,0.015,0.751,8.8,0.0935,8.02,0.001,0.0005,6.25,0.0001,0.42,0.011,0.183,4.63,0.186,0.45,16.05,0.0025,0.055,0.899,0.0879,0.0702,0.425,70.2,0.061,25.045,25.045,6.1,86,4.07,
KDK_Soils_2023,178770,Nwz052,,,,,,DUP,,06/17/2023,,,,,,,,,,0.166,2.53,5.07,0.0016,Imported,VA23178295,07/28/2023,ALS,ALS,2,126,0.485,0.106,0.3,0.144,17.2,9.01,16.05,0.809,41.6,Imported,VA23178295,07/28/2023,ALS,ALS,2.83,6.95,0.036,0.105,0.032,0.03,0.04,5.86,9,0.41,775,0.67,0.015,0.752,8.98,0.0935,7.94,0.001,0.0005,6.73,0.0001,0.52,0.012,0.185,4.51,0.185,0.51,16.1,0.0025,0.057,0.849,0.0873,0.0672,0.404,71.6,0.06,25.01,25.01,6.12,88.1,4.01,178769
KDK_Soils_2023,178771,Nwz051,WEST,NAD83_U10,676894,5503000,,REG,,06/17/2023,BA,Dry,Sub-angular,30,B Horizon,dk brown,Forest,Gravelly,Near roadside,0.213,1.98,5.99,0.0016,Imported,VA23178295,07/28/2023,ALS,ALS,2,149,0.392,0.0965,0.36,0.229,13.95,8.96,16.1,0.446,44.9,Imported,VA23178295,07/28/2023,ALS,ALS,2.86,5.2,0.038,0.058,0.041,0.031,0.05,5.79,7.4,0.42,749,0.588,0.011,0.608,9.48,0.0826,7.35,0.001,0.0005,4.24,0.0002,0.66,0.013,0.203,5.12,0.219,0.36,20,0.0025,0.065,0.493,0.0652,0.047,0.424,65.9,0.064,25.054,25.054,9.04,128,2.17,
KDK_Soils_2023,178772,Nwz050,WEST,NAD83_U10,676851,5502998,,REG,,06/17/2023,BA,Dry,Rounded,35,B Horizon,brown,Forest,Gravelly,Till,0.121,1.8,3.72,0.001,Imported,VA23178295,07/28/2023,ALS,ALS,2,110.5,0.342,0.0874,0.27,0.188,9.71,8.88,14.15,0.504,23.9,Imported,VA23178295,07/28/2023,ALS,ALS,2.59,5.35,0.025,0.081,0.029,0.024,0.05,3.49,6.7,0.38,549,0.596,0.011,0.666,9.27,0.1,5.7,0.0005,0.0005,4.18,0.0001,0.6,0.01,0.157,3.67,0.152,0.39,14.1,0.0025,0.056,0.526,0.0663,0.0357,0.279,62.9,0.065,25.021,25.021,3.24,115.5,2.84,
KDK_Soils_2023,178773,Nwz049,WEST,NAD83_U10,676801,5503002,,REG,,06/17/2023,BA,Dry,Sub-angular,25,B Horizon,brown,Forest,Gravelly,,0.049,1.84,3.61,0.0009,Imported,VA23178295,07/28/2023,ALS,ALS,1,133.5,0.341,0.0849,0.23,0.124,10.9,8.26,12.45,0.464,20.5,Imported,VA23178295,07/28/2023,ALS,ALS,2.46,5.07,0.026,0.158,0.029,0.023,0.04,3.53,6.8,0.37,717,0.577,0.012,0.654,7.99,0.118,4.94,0.069,0.0005,4.27,0.0001,0.58,0.01,0.139,3.64,0.147,0.38,12.35,0.0025,0.06,0.665,0.0671,0.0422,0.287,56.5,0.062,25.002,25.002,3.23,100.5,5.16,
KDK_Soils_2023,178774,Nwz048,WEST,NAD83_U10,676749,5503004,,REG,,06/17/2023,BA,Dry,Sub-rounded,35,B Horizon,brown,Forest,Gravelly,,0.076,1.57,2.61,0.0006,Imported,VA23178295,07/28/2023,ALS,ALS,1,101.5,0.269,0.0722,0.24,0.115,7.27,7.65,11.9,0.361,14.5,Imported,VA23178295,07/28/2023,ALS,ALS,2.34,4.26,0.02,0.031,0.017,0.024,0.05,2.86,6.1,0.37,664,0.485,0.01,0.527,7.01,0.0661,4.74,0.0005,0.0005,4.09,0.0001,0.6,0.009,0.116,2.77,0.122,0.34,13.2,0.0025,0.047,0.312,0.0634,0.0333,0.207,59.5,0.046,25.062,25.062,2.23,87.4,1,
KDK_Soils_2023,178775,Nwz047,WEST,NAD83_U10,676696,5503001,,REG,,06/17/2023,BA,Dry,Sub-rounded,35,B Horizon,lt brown,Forest,Gravelly,Till,0.076,1.57,3.1,0.0015,Imported,VA23178295,07/28/2023,ALS,ALS,1,99.5,0.259,0.077,0.32,0.088,6.47,8.59,13.85,0.286,18.5,Imported,VA23178295,07/28/2023,ALS,ALS,2.6,4.37,0.023,0.053,0.024,0.022,0.06,2.78,6.4,0.44,447,0.476,0.011,0.533,8.01,0.0453,4.74,0.001,0.0005,3.88,0.0001,0.62,0.008,0.168,3.46,0.136,0.35,16.7,0.0025,0.05,0.354,0.0859,0.0324,0.205,68.5,0.047,25.098,25.098,2.37,68.2,1.85,
KDK_Soils_2023,178776,Nwz116,WEST,NAD83_U10,676698,5503598,,REG,,06/17/2023,BA,Dry,Angular,20,B Horizon,brown,Forest,Gravelly,,0.121,2.15,8.51,0.004,Imported,VA23178295,07/28/2023,ALS,ALS,2,131.5,0.396,0.0921,0.36,0.095,11.1,11.05,17.45,0.575,55.6,Imported,VA23178295,07/28/2023,ALS,ALS,2.89,6.25,0.027,0.119,0.025,0.03,0.04,3.64,8.3,0.43,876,0.587,0.011,0.573,10.3,0.0944,4.84,0.0005,0.0005,5.35,0.0001,0.62,0.006,0.177,4.12,0.196,0.42,14.95,0.0025,0.051,0.65,0.0694,0.0435,0.294,67.1,0.067,25.065,25.065,3.46,80.5,3.77,
KDK_Soils_2023,178777,Nwz117,WEST,NAD83_U10,676748,5503604,,REG,,06/18/2023,BA,Dry,Sub-angular,20,B Horizon,brown,Forest,Gravelly,,0.065,2.11,10.75,0.0013,Imported,VA23178295,07/28/2023,ALS,ALS,1,120.5,0.395,0.1005,0.38,0.054,11,9.54,15.3,0.61,37.7,Imported,VA23178295,07/28/2023,ALS,ALS,2.69,6.22,0.025,0.082,0.024,0.035,0.03,3.42,7.4,0.34,634,0.664,0.014,0.749,9.51,0.0997,4.78,0.001,0.0005,5.56,0.0001,0.58,0.009,0.169,3.51,0.223,0.43,15.4,0.0025,0.046,0.526,0.0516,0.0406,0.298,60.2,0.068,25.012,25.012,3.32,68,2.7,
KDK_Soils_2023,178778,Nwz118,WEST,NAD83_U10,676799,5503602,,REG,,06/18/2023,BA,Dry,Sub-angular,20,B Horizon,lt brown,Forest,Gravelly,,0.06,1.82,9.11,0.0024,Imported,VA23178295,07/28/2023,ALS,ALS,1,130,0.346,0.104,0.4,0.144,11.2,11.4,17.8,0.283,51.1,Imported,VA23178295,07/28/2023,ALS,ALS,2.99,4.89,0.031,0.185,0.022,0.03,0.1,4.31,7.3,0.55,579,0.617,0.008,0.733,10.7,0.0699,5.99,0.001,0.001,3.83,0.0001,0.5,0.009,0.258,5.18,0.267,0.32,17.75,0.0025,0.082,0.657,0.0654,0.0346,0.282,68.6,0.069,25.027,25.027,5.46,79,6.88,
KDK_Soils_2023,178779,Nwz119,WEST,NAD83_U10,676860,5503598,,REG,,06/18/2023,BA,Dry,Sub-angular,20,B Horizon,brown,Forest,Gravelly,sample moved 10m due to road. Ant colony.,0.099,1.71,9.26,0.0045,Imported,VA23178295,07/28/2023,ALS,ALS,2,118,0.333,0.1075,1.25,0.31,13.4,15.5,23.1,0.278,79.3,Imported,VA23178295,07/28/2023,ALS,ALS,4.05,4.8,0.066,0.12,0.033,0.034,0.08,6.05,7.5,0.86,931,0.683,0.012,0.331,14.55,0.0955,6.03,0.001,0.001,1.68,0.0005,0.58,0.011,0.355,9.13,0.314,0.29,35.2,0.0025,0.16,0.656,0.0813,0.0309,0.271,89.1,0.053,25.072,25.072,11.1,99.3,4.25,
KDK_Soils_2023,178780,,,,,,,Control,Coarse Blank - Sand,,,,,,,,,,,0.07,0.99,4.65,0.0011,,VA23178295,07/28/2023,ALS,ALS,4,114.5,0.445,0.0872,1.28,0.175,21.9,10.95,21.8,0.757,41.8,,VA23178295,07/28/2023,ALS,ALS,2.57,3.48,0.063,0.143,0.039,0.023,0.09,9.39,9.2,0.61,539,0.855,0.024,0.542,17.9,0.0788,6.94,0.002,0.001,5.5,0.0002,0.72,0.021,0.32,4.93,0.121,0.47,85.6,0.0025,0.028,2.53,0.0526,0.064,0.6,62,0.108,25.042,25.042,8.8,61.6,5.39,
KDK_Soils_2023,178781,Nwz120,WEST,NAD83_U10,676899,5503606,,REG,,06/25/2023,BA,Dry,Sub-rounded,25,B Horizon,lt brown,Forest,Gravelly,,0.062,1.8,4.32,0.0008,Imported,VA23178295,07/28/2023,ALS,ALS,1,88.9,0.326,0.135,0.19,0.116,9.39,9.33,13.75,0.469,24.2,Imported,VA23178295,07/28/2023,ALS,ALS,2.72,5.24,0.023,0.128,0.024,0.027,0.03,3.22,6.2,0.37,565,0.58,0.011,0.622,8.5,0.0719,4.51,0.0005,0.0005,4.04,0.0001,0.58,0.005,0.149,3.74,0.196,0.42,10.6,0.0025,0.081,0.587,0.074,0.0395,0.228,66.5,0.065,25.005,25.005,3.05,84.5,5.13,
KDK_Soils_2023,178782,Nwz122,WEST,NAD83_U10,676992,5503595,,REG,,06/18/2023,BA,Dry,Angular,25,B Horizon,brown,Clear Cut,Gravelly,Moved 5m due to outcrop,0.211,2.72,2.47,0.001,Imported,VA23178295,07/28/2023,ALS,ALS,1,144.5,0.528,0.1185,0.22,0.068,18.1,8.2,12.2,0.973,46.8,Imported,VA23178295,07/28/2023,ALS,ALS,2.75,7.21,0.036,0.271,0.039,0.026,0.04,5.9,10.2,0.38,951,0.521,0.015,1.095,8.25,0.0463,7.57,0.001,0.0005,6.63,0.0001,0.44,0.011,0.177,4.06,0.132,0.52,11.4,0.0025,0.054,1.02,0.0898,0.0633,0.386,64.7,0.068,25.036,25.036,8.03,79.2,9.66,
KDK_Soils_2023,178783,Nwz123,WEST,NAD83_U10,677052,5503598,,REG,,06/18/2023,BA,Dry,Sub-rounded,20,B Horizon,brown,Forest,Gravelly,,0.208,1.54,2.01,0.0003,Imported,VA23178295,07/28/2023,ALS,ALS,1,132,0.264,0.0792,0.27,0.069,6.39,8.49,12.45,0.53,18.05,Imported,VA23178295,07/28/2023,ALS,ALS,2.29,4.4,0.017,0.027,0.023,0.018,0.05,2.55,7,0.3,624,0.466,0.012,0.505,8.25,0.0598,4,0.0005,0.0005,4.96,0.0001,0.54,0.007,0.164,2.78,0.142,0.41,13.5,0.0025,0.039,0.311,0.051,0.0305,0.203,57,0.052,25.07,25.07,1.87,89,0.9,
KDK_Soils_2023,178784,Nwz124,WEST,NAD83_U10,677096,5503599,,REG,,06/18/2023,BA,Dry,Sub-angular,25,B Horizon,brown,Forest,Gravelly,,0.105,2.4,3.15,0.0003,Imported,VA23178295,07/28/2023,ALS,ALS,1,175.5,0.403,0.101,0.31,0.133,12.65,10.4,15.55,0.61,35.6,Imported,VA23178295,07/28/2023,ALS,ALS,2.99,6.19,0.029,0.073,0.024,0.027,0.06,4.33,9.4,0.46,808,0.543,0.015,0.499,9.95,0.0949,4.68,0.0005,0.0005,6.25,0.0001,0.66,0.009,0.141,4.9,0.302,0.51,17.65,0.0025,0.095,0.611,0.0805,0.0416,0.34,69.4,0.052,25.003,25.003,4.27,124.5,2.69,
KDK_Soils_2023,178785,Nwz125,WEST,NAD83_U10,677150,5503603,,REG,,06/18/2023,BA,Dry,Sub-rounded,30,B Horizon,red-brown,Clear Cut,Gravelly,Near outcrop,0.132,2.53,2.69,0.0005,Imported,VA23178295,07/28/2023,ALS,ALS,1,161,0.44,0.1065,0.28,0.104,13.2,9.81,15.25,0.642,37,Imported,VA23178295,07/28/2023,ALS,ALS,3.02,6.56,0.031,0.109,0.028,0.035,0.04,5.01,9.6,0.47,657,0.575,0.014,0.635,9.41,0.0801,4.48,0.0005,0.0005,5.53,0.0001,0.56,0.008,0.121,5,0.22,0.47,15.25,0.0025,0.087,0.782,0.0803,0.0505,0.373,69.3,0.065,25.043,25.043,5.4,98.6,4.12,
