Point number,Sample Number,Site ID,Target,Grid,UTM_East,UTM_North,Elevation (m),Sample Type,Standard Type,Date_Sampled,Sampler,Moisture,Angularity,Depth_cm,Horizon,Color,Site Vegetation,Texture,Description,Ag ppm AuME-ST43,Al % AuME-ST43,As ppm AuME-ST43,Au ppm AuME-ST43,Au ppm AuME-ST43 status,Au ppm AuME-ST43 certificate,Au ppm AuME-ST43 certificate completed,Au ppm AuME-ST43 laboratory,Au ppm AuME-ST43 sample analysis workflow,B ppm AuME-ST43,Ba ppm AuME-ST43,Be ppm AuME-ST43,Bi ppm AuME-ST43,Ca % AuME-ST43,Cd ppm AuME-ST43,Ce ppm AuME-ST43,Co ppm AuME-ST43,Cr ppm AuME-ST43,Cs ppm AuME-ST43,Cu ppm AuME-ST43,Cu ppm AuME-ST43 status,Cu ppm AuME-ST43 certificate,Cu ppm AuME-ST43 certificate completed,Cu ppm AuME-ST43 laboratory,Cu ppm AuME-ST43 sample analysis workflow,Fe % AuME-ST43,Ga ppm AuME-ST43,Ge ppm AuME-ST43,Hf ppm AuME-ST43,Hg ppm AuME-ST43,In ppm AuME-ST43,K % AuME-ST43,La ppm AuME-ST43,Li ppm AuME-ST43,Mg % AuME-ST43,Mn ppm AuME-ST43,Mo ppm AuME-ST43,Na % AuME-ST43,Nb ppm AuME-ST43,Ni ppm AuME-ST43,P % AuME-ST43,Pb ppm AuME-ST43,Pd ppm AuME-ST43,Pt ppm AuME-ST43,Rb ppm AuME-ST43,Re ppm AuME-ST43,Recvd Wt. kg WEI-21,S % AuME-ST43,Sb ppm AuME-ST43,Sc ppm AuME-ST43,Se ppm AuME-ST43,Sn ppm AuME-ST43,Sr ppm AuME-ST43,Ta ppm AuME-ST43,Te ppm AuME-ST43,Th ppm AuME-ST43,Ti % AuME-ST43,Tl ppm AuME-ST43,U ppm AuME-ST43,V ppm AuME-ST43,W ppm AuME-ST43,WT. SAMPLE g AuME-IC43i,WT. SAMPLE g AuME-MS43i,Y ppm AuME-ST43,Zn ppm AuME-ST43,Zr ppm AuME-ST43,parent sample number
KDK_Soils_2023,258603,AG033,Agie,NAD83_U10,691751,5513101,,REG,,08/12/2023,EG,Dry,Sub-rounded,15,B Horizon,lt brown,Clear Cut,Pebbly Sand,,0.497,1.54,2.63,0.0051,Imported,VA23230525,09/11/2023,ALS,ALS,1,186.5,0.329,0.202,0.58,0.157,18.4,6.66,17.55,0.635,24.9,Imported,VA23230525,09/11/2023,ALS,ALS,1.69,4.81,0.023,0.073,0.046,0.046,0.06,7.31,16.4,0.32,396,0.761,0.018,0.973,11.05,0.0264,19.6,0.0005,0.0005,6.51,0.0003,0.42,0.017,0.154,2.12,0.111,0.34,43.1,0.0025,0.014,1.605,0.0641,0.0553,12.2,43,0.105,25.079,25.079,4.77,172.5,3.08,
KDK_Soils_2023,258604,AG034,Agie,NAD83_U10,691799,5513098,,REG,,08/12/2023,EG,Dry,Sub-angular,15,B Horizon,lt brown,Clear Cut,Silty Sand,,0.47,1.46,2.3,0.0011,Imported,VA23230525,09/11/2023,ALS,ALS,1,164.5,0.266,0.396,0.23,0.148,15.75,5.81,12.75,0.829,17.2,Imported,VA23230525,09/11/2023,ALS,ALS,1.7,4.67,0.018,0.061,0.026,0.063,0.06,5.75,9.9,0.22,238,0.74,0.017,0.819,8.83,0.0272,29.9,0.0005,0.0005,5.07,0.0002,0.54,0.011,0.099,1.265,0.084,0.37,20.1,0.0025,0.023,1.635,0.0602,0.041,0.763,40.4,0.127,25.057,25.057,2.94,238,2.29,
KDK_Soils_2023,258605,AG035,Agie,NAD83_U10,691851,5513098,,REG,,08/12/2023,EG,Dry,Sub-angular,20,B Horizon,beige,Clear Cut,Silty Sand,,0.199,1.74,2.14,0.0032,Imported,VA23230525,09/11/2023,ALS,ALS,1,68.6,0.325,0.285,0.1,0.103,7.19,5.15,12.85,1.035,11.2,Imported,VA23230525,09/11/2023,ALS,ALS,1.8,5.89,0.018,0.186,0.023,0.049,0.04,3.31,8.1,0.21,196.5,0.64,0.012,0.829,8.34,0.112,24.4,0.0005,0.0005,5,0.0002,0.58,0.007,0.103,1.295,0.058,0.43,8.8,0.0025,0.023,1.68,0.0744,0.0407,0.388,42,0.245,25.068,25.068,1.435,208,7.73,
KDK_Soils_2023,258606,AG036,Agie,NAD83_U10,691899,5513104,,REG,,08/12/2023,EG,Dry,Sub-rounded,30,B Horizon,OB,Clear Cut,Pebbly Sand,,0.528,1.28,2.08,0.0006,Imported,VA23230525,09/11/2023,ALS,ALS,1,48.3,0.224,0.329,0.12,0.108,6.25,3.54,10.7,0.798,10.65,Imported,VA23230525,09/11/2023,ALS,ALS,1.67,5.06,0.014,0.11,0.034,0.049,0.03,3.32,7,0.16,109.5,0.526,0.012,0.819,5.53,0.127,29.3,0.0005,0.0005,4.1,0.0001,0.48,0.01,0.086,1.045,0.068,0.35,8.54,0.0025,0.02,1.325,0.0549,0.0278,0.32,38.3,0.133,25.049,25.049,1.15,182.5,3.78,
KDK_Soils_2023,258607,AG037,Agie,NAD83_U10,691952,5513098,,REG,,08/12/2023,EG,Dry,Angular,25,B Horizon,beige,Clear Cut,Pebbly Sand,,0.283,1.1,1.48,0.0099,Imported,VA23230525,09/11/2023,ALS,ALS,1,49.9,0.209,0.316,0.11,0.094,7.42,2.81,10.15,0.744,8.2,Imported,VA23230525,09/11/2023,ALS,ALS,1.52,4.87,0.018,0.087,0.027,0.059,0.04,3.75,7.4,0.12,102.5,0.473,0.008,0.719,5.03,0.112,21.6,0.0005,0.0005,3.82,0.0001,0.56,0.006,0.092,0.971,0.04,0.36,9.29,0.0025,0.016,1.745,0.0511,0.026,0.484,33.1,0.244,25.035,25.035,1.375,159,3.19,
KDK_Soils_2023,258608,AG038,Agie,NAD83_U10,691998,5513099,,REG,,08/12/2023,EG,Damp,Sub-angular,30,B Horizon,Light Brown-Grey,Forest,Pebbly Sand,,0.448,0.88,1.22,0.0026,Imported,VA23230525,09/11/2023,ALS,ALS,1,100.5,0.141,0.28,0.17,0.096,7.1,3.02,8.65,0.727,9.04,Imported,VA23230525,09/11/2023,ALS,ALS,1.21,3.69,0.015,0.011,0.034,0.035,0.03,4.45,7.5,0.13,239,0.524,0.011,0.501,4.62,0.0233,21.8,0.0005,0.0005,4,0.0001,0.44,0.006,0.089,0.82,0.045,0.29,16.05,0.0025,0.018,0.757,0.046,0.0349,0.434,30.2,0.104,25.032,25.032,1.66,133,0.39,
KDK_Soils_2023,258609,AG039,Agie,NAD83_U10,692051,5513099,,REG,,08/12/2023,EG,Dry,Sub-rounded,20,B Horizon,beige,Forest,Pebbly Sand,,0.174,1.25,1.15,0.0043,Imported,VA23230525,09/11/2023,ALS,ALS,1,82.4,0.212,0.294,0.19,0.078,7.18,4.12,10.35,1.24,9.82,Imported,VA23230525,09/11/2023,ALS,ALS,1.5,5.04,0.015,0.021,0.016,0.057,0.04,4.28,10.4,0.17,291,0.421,0.015,0.68,6.14,0.0237,20.8,0.0005,0.0005,6.67,0.0001,0.32,0.007,0.065,0.934,0.028,0.39,17.25,0.0025,0.017,1.03,0.0539,0.0411,0.469,35.3,0.101,25.033,25.033,1.74,203,0.88,
KDK_Soils_2023,258610,AG039,,,,,,DUP,,08/12/2023,,,,,,,,,,0.182,1.4,1.17,0.0014,Imported,VA23230525,09/11/2023,ALS,ALS,1,90.1,0.235,0.308,0.19,0.064,7.66,4.4,10.8,1.33,10.35,Imported,VA23230525,09/11/2023,ALS,ALS,1.62,5.45,0.017,0.021,0.013,0.064,0.03,4.55,11.6,0.18,304,0.403,0.015,0.677,6.34,0.0242,21.2,0.0005,0.0005,6.49,0.0001,0.48,0.006,0.068,1.025,0.028,0.4,17.1,0.0025,0.017,1.34,0.0584,0.0421,0.526,37.9,0.177,25.094,25.094,1.85,226,0.87,258609
KDK_Soils_2023,258611,AG040,Agie,NAD83_U10,692100,5513098,,REG,,08/12/2023,EG,Dry,Sub-angular,20,B Horizon,beige,Forest,Pebbly Sand,,0.468,1.94,2.71,0.0008,Imported,VA23230525,09/11/2023,ALS,ALS,1,80.8,0.409,0.403,0.14,0.095,12.75,5.17,10.75,1.51,13.9,Imported,VA23230525,09/11/2023,ALS,ALS,1.86,6.43,0.023,0.131,0.03,0.077,0.03,4.67,9.1,0.18,424,0.528,0.017,1.155,7.02,0.076,34.3,0.0005,0.0005,6.98,0.0001,0.48,0.01,0.102,1.24,0.072,0.54,12.2,0.0025,0.032,1.84,0.079,0.0483,0.957,40.9,0.145,25.076,25.076,2.95,211,5.51,
KDK_Soils_2023,258612,AG041,Agie,NAD83_U10,692150,5513099,,REG,,08/12/2023,EG,Dry,Sub-angular,20,B Horizon,beige,Forest,Pebbly Sand,,0.469,1.64,2.13,0.0012,Imported,VA23230525,09/11/2023,ALS,ALS,1,100.5,0.389,0.276,0.13,0.199,15.8,4.3,8.6,2.38,10.15,Imported,VA23230525,09/11/2023,ALS,ALS,1.52,4.99,0.021,0.091,0.031,0.044,0.06,6.02,7.6,0.14,440,0.632,0.014,0.774,5.96,0.0934,37.6,0.0005,0.0005,8.53,0.0002,0.48,0.01,0.089,1.08,0.052,0.41,10.55,0.0025,0.016,1.615,0.0515,0.0627,0.902,30.8,0.189,25.017,25.017,2.75,266,3.71,
